@relation GesturePredictions

@attribute labels {a,b,c,d,e,f,g,h,i,j,k,l}
@attribute zeroFingerFramesRatio numeric
@attribute oneFingerFramesRatio numeric
@attribute twoFingerFramesRatio numeric
@attribute threeFingerFramesRatio numeric
@attribute fourFingerFramesRatio numeric
@attribute fiveFingerFramesRatio numeric
@attribute rightFramesRatio numeric
@attribute leftFramesRatio numeric
@attribute upFramesRatio numeric
@attribute downFramesRatio numeric
@attribute forwardFramesRatio numeric
@attribute backwardFramesRatio numeric
@attribute avgGripStrength numeric
@attribute avgPinchStrength numeric
@attribute averageTipDistanceRatio numeric
@attribute avgPitch numeric
@attribute avgYaw numeric
@attribute avgRoll numeric
@attribute avgXPalmVelocity numeric
@attribute avgYPalmVelocity numeric
@attribute avgZPalmVelocity numeric
@attribute avgScaleFactor numeric
@attribute avgSphereRadius numeric

@data
b,1292,8707,0,0,0,0,1632,476,68,68,12244,14965,2642,8330,3144070,6994,1668,-3514,186587,-185440,87209,9880,389440
b,1194,8656,149,0,0,0,447,447,0,74,3731,11194,1187,9901,3240172,7308,-7593,3880,174634,-294813,179895,9891,417523
b,507,9492,0,0,0,0,362,72,0,72,8695,5797,1064,9953,3554952,7180,-6363,3423,354691,-195964,235565,9882,396077
b,1533,8466,0,0,0,0,245,490,61,122,4907,11042,2125,9689,3283555,8238,-1329,-5037,53698,-264598,340450,9913,385318
b,1407,8592,0,0,0,0,814,666,148,0,5925,11111,1615,9594,3267215,5824,1492,-2908,20184,-375526,197732,9859,393131
b,810,9189,0,0,0,0,472,337,0,0,4729,6756,1660,9925,3351085,5935,-6505,4859,309864,-124650,218399,9875,389856
b,937,9062,0,0,0,0,312,468,0,312,10937,7031,1719,9364,3256521,5689,-7324,3857,258623,-214835,40274,9865,390117
b,3207,6792,0,0,0,0,1320,440,62,62,14465,21383,4436,9519,2644753,8215,2670,-5514,-832673,-918629,-604121,9900,376670
b,703,9296,0,0,0,0,781,234,0,78,7812,10937,1152,9720,3401157,6078,288,-1860,218242,-181940,297036,9885,398236
b,1147,8852,0,0,0,0,1065,163,0,163,5737,14754,1473,9613,3446951,6509,3396,-3766,291745,13942,324837,9859,398138
b,642,9357,0,0,0,0,733,366,91,275,11926,13761,616,9491,3611670,6827,1842,-2480,-166201,-305290,370341,9881,401160
b,2748,7251,0,0,0,0,687,534,152,76,12977,14503,2628,9115,3318698,7497,1850,-5901,-89455,-424215,-87581,9908,395547
b,1138,8861,0,0,0,0,650,325,0,81,7317,16260,1392,9682,3372745,6485,1552,-2999,6104,-470011,89770,9876,414344
b,1260,8739,0,0,0,0,924,252,84,84,11764,9243,1198,9961,3541213,5541,-4713,3641,185832,-312020,184478,9855,389175
b,973,9026,0,0,0,0,973,176,176,0,6194,14159,2505,9498,3289848,5287,1398,-1694,179793,-434079,254891,9840,387216
c,1300,8699,0,0,0,0,1219,731,162,81,8130,13008,2067,9276,3496584,7198,2469,-7805,244696,-363710,136788,9866,393362
c,1438,8561,0,0,0,0,1294,359,71,0,4316,8633,1375,9888,3873479,5749,3381,-6881,307751,-437597,257306,9909,401424
c,1623,8376,0,0,0,0,1538,769,85,0,9401,11965,1565,9805,3521388,6675,1274,-6241,235868,-523618,471935,9852,413610
c,1683,8316,0,0,0,0,1584,396,198,198,7920,11881,2146,9644,3662212,5278,2495,-5576,10033,-432434,87978,9826,394597
c,2150,7849,0,0,0,0,2580,537,107,322,16129,25806,2098,9547,3525387,8194,3547,-8825,415210,-990374,-184778,9804,391927
c,676,9323,0,0,0,0,1052,526,75,150,11278,6766,927,9704,3799938,6615,1912,-6750,344448,-207954,-16841,9879,403059
